Qty,Designators,Value,MPN,Manufacturer,Description,LCSC,Footprint,Price1k_INR,Ext_INR,Alt
3,"MODU MODV MODW","","HCS600FH120D3C1","HIITIO","SiC MOSFET half-bridge module 1200 V 600 A, EconoDUAL 3 footprint (DIRECT hiitio relationship — supply secured; aux-pin numbering VERIFY vs vendor drawing)",CLASS,"EconoDUAL3",18000,54000,"Infineon FF6MR12W2M1H_B11 / Starpower GD600HTT120C6S class (same outline)"
16,"CDC1 CDC10 CDC11 CDC12 CDC13 CDC14 CDC15 CDC16 CDC2 CDC3 CDC4 CDC5 CDC6 CDC7 CDC8 CDC9","20uF","C3D1M206KFSA382","Faratronic","DC-link film 20 uF 1100 V p37.5 (16x = 320 uF; LCSC-stocked DFM pick, ~$3.4 ea)",C2840809,"FilmCan37.5",300,4800,"TDK B32778G0406K000 40 uF 4-lead (1 per 2 positions, DigiKey) / Vishay MKP1848C"
6,"TFH1 TFH2 TFH3 TFL1 TFL2 TFL3","","VGT12EEM-200S1A4","TDK (Vogt)","gate-drive flyback transformer EE, AEC-Q200, 2.6 kVrms — DigiKey ships-today. REAL spec (TDK DS): NP:NF:NS 1:1.6:2.9, Lp 10 uH ±20 % -> ~250 kHz operation (F32/F33); NF=primary feedback 3-4, NS=5..8",CLASS,"XfmrEE12",350,2100,"Wurth 750318131 class / CN custom-wound to drawing at volume"
3,"CUSN CVSN CWSN","1uF","FILM-1uF-1200V","Kemet/TDK","1 uF 1200 V film snubber at module DC terminals (B32774 class; exact value via DigiKey — LCSC stocks near-values, e.g. 5 uF/1.1 kV C3809992)",CLASS,"FilmP27.5",180,540,"B32774D0505K000 5 uF C3809992 (retune) / Kemet C4AQ"
6,"UUHG UULG UVHG UVLG UWHG UWLG","","NSI6611A-Q1","NOVOSENSE","iso gate driver 10 A, DESAT/Miller clamp/UVLO/RDY/FLT, SOIC-16W reinforced. Pin map CONFIRMED vs DS 1.2 Table 1.1 (1=ASC 2=DESAT 3=GND2 4=OUTH 5=VCC2 6=OUTL 7=CLAMP 8=VEE2 / 9=GND1 10=IN+ 11=IN- 12=RDY 13=FLT 14=RST/EN 15=VCC1 16=TEST); VCC2 UVLO 11.2 typ/12.8 max rising; RDY/FLT current-limited reporters (ganging valid); ASC forces OUTH high, abs GND2+6 V",C7470934,"SOIC16W",85,510,"NSI6602B / UCC21750-Q1 (map differs)"
1,"QDIS","","HCM75S12T4K3","HIITIO","SiC MOSFET 1200 V 75 mR TO-247-4L (discharge switch — vendor consolidation)",CLASS,"TO247-4L",350,350,"any 1200 V >=5 A SiC/Si FET, TO-247"
2,"UIVB UIVDC","","AMC1311BDWVR","TI","iso voltage amp 0-2 V in, reinforced (VDC channel 1)",C456277,"SOIC8W",115,230,"NSI1311 class"
2,"PSASC PSQD","","QA01C-18","MORNSUN","iso 15->18 V 1 W module >=6 kVDC (discharge driver bias, DCN-referenced). Genuine Mornsun via Mouser/direct; LCSC stocks spec-matched clones (YLPTEC C5369865) — qualify before production",CLASS,"SIP7",95,190,"B1518S-3WR3HD / YLPTEC QA01C-18 C5369865"
2,"PS5B PS5C","","ISO5V-RFC-6K","MORNSUN QA/URB-grade","iso 15->5 V >=1 W REINFORCED >=5 kVrms (ONE PER VDC CHANNEL — independent bias, no common cause; functional-grade rejected, barrier rule)",CLASS,"SIP7",95,190,"RECOM RxxP-R certified eq"
5,"JHVN JHVP JMU JMV JMW","","STUD-M8","local","HV DC entry M8 stud (busbar)",CLASS,"StudM8",28,140,"M10"
1,"UB15","","TPS55340QRTERQ1","TI","boost 12->15.0 V (sense-bias rail V15, ~6 W) — automotive grade stocked on LCSC",C2070860,"WQFN16",140,140,"LM5155-Q1 / commercial TPS55340RTER C169167"
1,"JIC","","MICROFIT3-40","Molex","40-way Micro-Fit 3.0 harness to control card",CLASS,"MicroFit40",120,120,"TE MATE-N-LOK eq"
4,"RDIS1 RDIS2 RDIS3 RDIS4","470","WW-470R-10W-AX","TT/Vitrohm","470 R 10 W axial ceramic wirewound, >=100 J single pulse (active discharge string; F26 — 4x = 1.88k closes 850->60 V in 1.84 s WORST case). DigiKey (TE SQP500JB / Vishay AC10) or RX27-1 via 1688",CLASS,"AxialWW10W",28,112,"TE SQP500JB / Vishay AC10 / RX27-1"
2,"UASC UQD","","TLP152","Toshiba","opto gate driver (isolated discharge control, default-OFF)",C17255258,"SO6",42,84,"TLP2745 / EL3182"
2,"QFH QFL","","BUK9Y14-80E","Nexperia","80 V logic-level NFET LFPAK (flyback switch; LCSC-stocked)",C86732,"LFPAK56",25,50,"SQJ850EP class"
2,"CY1 CY2","4.7nF","Y1-4.7nF-500VAC","TDK/Vishay/Murata","Y1-class 4.7 nF disc (500 Vac / 8 kV impulse), bus-to-chassis at 850 Vdc — Y2 (250 Vac line class) is NOT sufficient here (verification finding F2)",CLASS,"DiscP10",22,44,"2x Y2 in series / TDK CeraLink 1.5 kVdc"
2,"UFH UFL","","UCC28C40DR","TI","current-mode PWM controller SOIC-8, UVLO 7.0/6.6 V (F31: the C43 grade is 8.4/7.6 per SLUS458I and cannot start at 9 V cold-crank through the trickle — C40 grade required). ~250 kHz operation (F32)",CLASS,"SOP8",22,44,"UCC28C41DR (50 % duty) / NJW4140R via DigiKey — NOT UC2843B (8.4/7.6 UVLO)"
1,"UGDL","","NCV4276CDT50RKG","onsemi","5 V 400 mA LDO (driver VCC1 logic rail, INH from EN_FLYBK_LS — GEN3 exact)",CLASS,"DPAK",32,32,"NCV4949 class"
10,"RBLD1 RBLD10 RBLD2 RBLD3 RBLD4 RBLD5 RBLD6 RBLD7 RBLD8 RBLD9","27k","R2512-27k-2W","any","27 k 2512 2 W standard thick-film (passive bleeder 5s x 2p = 67.5k; 170 V/resistor at 850 V — inside plain-2512 200 V working, DFM rev replacing the TTI-only TE CRGP)",CLASS,"R2512",3,30,"TE CRGP2512F68K C2073426 (101 pcs LCSC) in 3s x 3p if the XM3 arrangement is preferred"
18,"CFHA CFLA CLVH1 CLVH2 CLVL1 CLVL2 CUHB2 CUHV1 CULB2 CULV1 CVHB2 CVHV1 CVLB2 CVLV1 CWHB2 CWHV1 CWLB2 CWLV1","4.7uF","MLCC-4.7uF-50V","any","driver VCC2 bulk (3x on layout)",CLASS,"C1206",1.5,27,"any X7R"
6,"RUHON RULON RVHON RVLON RWHON RWLON","1.5","R2512-1R5-2W","any","gate turn-on resistor 1.5 R 2512 2 W (600 A module — tune at double-pulse)",CLASS,"R2512",4,24,"any thick-film pulse 2512"
6,"RUHOFF RULOFF RVHOFF RVLOFF RWHOFF RWLOFF","1","R2512-1R0-2W","any","gate turn-off resistor 1.0 R 2512 2 W",CLASS,"R2512",4,24,"any"
20,"DFHA DFLA DUHR DUHS1 DUHS2 DULR DULS1 DULS2 DVHR DVHS1 DVHS2 DVLR DVLS1 DVLS2 DWHR DWHS1 DWHS2 DWLR DWLS1 DWLS2","","US1M","Yageo/MDD","1 kV 1 A fast diode SMA (DESAT chain, 2 in series)",C412437,"SMA",1.2,24,"US1MDFQ-13 / M7"
1,"JPE","","STUD-M6","local","PE / chassis stud",CLASS,"StudM6",18,18,"M8"
6,"DUHSB DULSB DVHSB DVLSB DWHSB DWLSB","","BAT64-04","Infineon","dual Schottky SOT-23 (DESAT charge path, per GEN3)",CLASS,"SOT23",3,18,"BAT54S"
2,"FH1 FL1","","MF-LSMF300/24X-2","Bourns","polyfuse 3 A 24 V (12 V feed per flyback chain — GEN3 exact; exact part on LCSC, 7k+ stock)",C719172,"PTC2920",8,16,"RUILON SMD2920 class"
6,"RUHPD RULPD RVHPD RVLPD RWHPD RWLPD","1M","HV73-1M-1206","Vishay","1 M HV-rated gate pulldown AT the module pins (GEN3: do not substitute non-HV)",CLASS,"R1206",2,12,"TT HVC class"
12,"RVBD1 RVBD2 RVBD3 RVBD4 RVBD5 RVBD6 RVDD1 RVDD2 RVDD3 RVDD4 RVDD5 RVDD6","470k","R1206-470k-TF","Vishay/Yageo","470 k 1206 thin-film 200 V (divider ch1 top, 6 series)",CLASS,"R1206",1,12,"any 0.1% thin-film"
2,"DRH DRL","","NRVBAF360T3G","onsemi","60 V 3 A Schottky reverse protection (GEN3 exact)",CLASS,"SMA-flat",6,12,"Yangjie SS36AQ C698868 (std SMA pads — footprint delta)"
2,"DTVH DTVL","","TPSMC24CA","Littelfuse","24 V bidir TVS on 12 V entry (GEN3 exact; LCSC as -VR packing)",C1975284,"SMC",6,12,"SMCJ24CA"
7,"C5G2 CUHE1 CULE1 CVHE1 CVLE1 CWHE1 CWLE1","10uF","MLCC-10uF-25V","any","VEE2 reservoir",CLASS,"C1206",1.5,10.5,"any X7R"
1,"LB15","","IND-10uH-3A","any","boost inductor 10 uH 3 A",CLASS,"IND6x6",8,8,"any shielded"
13,"DUHZ2 DULZ2 DVHZ2 DVLZ2 DWHZ2 DWLZ2 ZASC ZUHV ZULV ZVHV ZVLV ZWHV ZWLV","","BZT52-C5V1","any","5.1 V gate clamp zener (negative excursion)",CLASS,"SOD123",0.5,6.5,"MMSZ5231B"
2,"DFHSN DFLSN","","SMBJ85A","any","snubber/clamp TVS",CLASS,"SMB",3,6,"P6SMB class"
13,"RASCPD RPD0 RPD1 RPD10 RPD2 RPD3 RPD4 RPD5 RPD6 RPD7 RPD8 RPD9 RQDPD","10k","R0603-10k","any","discharge gate pulldown to DCN (default-OFF)",CLASS,"R0603",0.4,5.2,"any"
