Source,ID,Review statement,Class,Verification,Action / where
Review 1,F01,CRITICAL — IMCR/SSS placeholders (0u) for PTC26/PTC25 → PWM_1 FAULT0/2; the fault hold is not demonstrated,Confirmed,"s32k396.h lines 89–92 literal 0u, written by lock_faults()",placeholder mappings are a build error; the host build reports the route unbound and arming is refused; the physical route test is an arming-evidence item. F150
Review 1,F02,CRITICAL — hal_pwm_config_locked() returns true from a readback; REG_PROT/XRDC is a TODO,Confirmed,source,"config_matches() / protection_locked() separated; the lock witness reads the lock bits or returns false; arming-evidence record (route, config, lock, validated fault/OVP routes in NVM with CRC) gates gate-enable. F151"
Review 1,F03,MAJOR — REXM 5.1 k lets 5.45–5.66 mA into the SDADC pads at a 35 V fault (3 mA limit),Confirmed,reproduced (5.45 mA at 5.3 V clamp; unpowered worse),"REXM1/3 18 k, REXM2 42.2 k, REXM4 84.5 k (1.96 mA at 35 V, 2.81 mA at 50 V, same ratios); verifier row; ERC values. F152"
Review 1,F04,MAJOR — ALM2402 outputs reach the connector; a 24/35 V terminal fault exceeds the 18 V output rating whatever the supply does,Confirmed,schematic,"SMCJ8.5CA at each connector node (clamps at 10–11 V, below the 12.1 V rail + a diode: no back-drive) + MF-MSMF020 PTC (0.2 A, 30 V, AEC-Q200) per line; fault currents, pulse budget and amplitude loss in the register; bench gate ㉘. F153"
Review 1,F05,MODERATE — the monitor pair has no C_AAF (180 pF min),Confirmed,schematic,CEXM 220 pF C0G across VREXM_P/N; Thevenin 12.6/14.8 k per leg ≤ 20 k; the 3.0° fixed reference offset is absorbed by FW-20. F152
Review 1,F06,CRITICAL — the ADC-watchdog → PWM-fault OVP route is not demonstrated on the target; a sampled watchdog is not a comparator,Already Fixed (gate),target-integration item since A.12,the OVP route is an arming-evidence flag (OVP_ROUTE_VALIDATED from the EOL/HIL record); an external comparator only if the measured chain misses the 15.6 µs budget
Review 1,F07,CRITICAL — no independently closed worst-case SC current-extinction budget,Improvement Recommended,the DESAT rows carried detection + soft-off only,"explicit budget row (detection + soft-off + fall/tail) per silicon, WARN against the 6 µs/800 V IGBT withstand and the unpublished SiC figure — gate ③ unchanged"
Review 1,F08,CRITICAL — forced SPO / gate-power loss vs the real motor,Already Fixed (gate ⑥),contract §6 + energy rule present,"keep_hv now follows the energy dependence (R08); the motor dataset, ASC qualification and contactor retention stay the vehicle-level gate"
Review 1,F09,MAJOR — discharge resistor pulse/fail-open behaviour not established; a shorted QDIS bypasses the timeout,Confirmed (detection missing),reproduced 96 W/part,firmware detects an unexpected discharge at the next contactor opening → latched no-re-energise DTC + contactor-open request; verifier rows per SKU; the benign-failure test stays gate ㉖. F157
Review 1,F10,MAJOR — the 6.2 k divider suits a bounded 850 V contract only; tolerances must be frozen,Already Fixed / Improvement Recommended,"worst-corner row (893 V) existed; bottoms 0.1 %, tops 1 % thin-film in the BOM","INFO row: an extended 920 V variant is a separate release (5.1 k → 1108 V FS, thresholds, calibration, can hot-voltage)"
Review 1,F11,MAJOR — LV clamp/PTC/semiconductor stress needs one source-impedance model,Already Fixed (gate ㉗),—,"unchanged; stale ""34 V / Ri ≥ 4 Ω covered"" BOM texts removed (N03)"
Review 1,F12,MAJOR — production BOM/OTP configuration not fully frozen,Improvement Recommended,—,UCC12051QDVERQ1 promoted to the primary MPN (UCC12050 = proto fit); the FS26 OTP image remains §8a; AVL columns are the BOM
Review 1,F13,MAJOR — sensor sleeve insulation system unreleased,Already Fixed (gate ⑩),—,unchanged
Review 1,F14,MAJOR — capacitor hot-voltage/ripple/sharing qualification,Already Fixed (gate ④),—,unchanged; bank count kept
Review 1,F15,MAJOR — cold-plate model unvalidated,Already Fixed (gate ④),—,unchanged
Review 1,F16,MAJOR — gate-power transformer corner qualification,Already Fixed (gate ⑤/⑬),—,unchanged
Review 1,F17,MODERATE — CAN termination must follow the vehicle position,Improvement Recommended,BOM already marked the endpoint option,variants.md states the population rule; ERC unchanged
Review 1,F18,MAJOR — motor-temperature line fuse/clamp coordination,Confirmed,PESD5V0L1BA is ESD-class,SMAJ5.0A (400 W) carries the ≈ 16 A until FMT opens; fuse MPN bound (EXTRACTED §31); the 1 k limits the buffer to 3.9 mA. F154
Review 1,F19,MODERATE — shared model inputs are not independent verification,Improvement Recommended,—,the ball map is now checked against NXP's netlist (a manufacturer-derived golden source); kicad5-verify fails on a mutated pin number; the mutation practice stays
Review 1,F20,MAJOR — real-time timing not established,Already Fixed (target gate),—,WCET/jitter remain HIL items (firmware README)
Review 1,F21,"MODERATE — safety readiness overstated (""paperwork"")",Confirmed (wording),cost-rollup §2,"wording corrected: the safety work products are engineering that can change requirements; ""ASIL-D-capable"" kept"
Review 1,F22,MODERATE — common 1200 V module not proven lowest-cost for 4XX,Improvement Recommended,—,variants.md: 750 V RFQ item and the conduction-loss delta; D3 stays for prototypes
