Source,ID,Review statement,Class,Classification detail,Verification,Action / where
Review 1,R-F01,CRITICAL — S8 overshoot 1000× too small,Confirmed,Confirmed (F63),"Ln·20e12·1e-6 = 0.3 V for 15 nH·20 kA/µs; correct is 300 V. Worse: the HCS600 DS fall time (13 ns cold at 600 A, 3.3 Ω) is ≈30 kA/µs at 481 A, so no EconoDUAL-class loop holds 1080 V at 850 V at 3.3 Ω","S8 rebuilt on the DS fall time; RG_OFF start value 6.8 Ω, RG_ON 3.3 Ω (was 1.5/1.0 — faster than any published point); Eoff at 6.8 Ω booked in the loss model; DPT at 850 V cold/hot sets the final value (3.3–10 Ω). Module Ls requested from hiitio"
Review 1,R-F02,MAJOR — SiC conduction understated,Confirmed,Confirmed (F64),"Exact: ½·I²·R per switch (verified numerically for several m, cosφ); old formula 2.43× low","Loss model rebuilt (loss-model.mjs); peak 30 s Tj 122 °C at 850 V (was ""89 °C""); continuous 90 °C; 99.0 % semiconductor efficiency at the continuous point. No hardware change — margin still 53 K to 175 °C"
Review 1,R-F03,CRITICAL — IGBT SC 6 µs not 10 µs,Confirmed,Confirmed (F65),HCG600 DS Table 5: Isc 1800 A for tP ≤ 6 µs at 800 V/175 °C/15 V. 150 pF gave 4.5 µs worst detection alone,IGBT blanking 82 pF C0G: 2.98 µs worst detection + ≈1.5 µs soft-off < 5 µs derated to 850 V/15.6 V; min blank 1.22 µs. Contained SC test is the release gate
Review 1,R-F04,CRITICAL — SiC SC envelope unknown,Already Fixed,Already Fixed (tracked),"Rev A.5 already carried ""SiC tSC unpublished — vendor letter is the gate""","Kept as a release gate; S9 now reports the worst-case reaction (3.1 µs, 6.5 µs at the DS-minimum soft-off current)"
Review 1,R-F05,"MAJOR — S9 is a timer, not a current model",Confirmed,"Confirmed (F69, F74)","True. And the review's side question is real: DRV_EN drops 0.5–0.9 µs after DESAT, inside the faulted driver's soft turn-off (1–11 µs), and the NSI6611 DS does not say whether RST/EN aborts it","10 k/3.3 nF between latch and the AND's Schmitt input delays the global drop 12–40 µs (FS0B/MCU paths undelayed). S9 relabelled ""reaction timeline"", worst-case corners"
Review 1,R-F06,CRITICAL — fault latch not fault-dominant,Confirmed,"Confirmed (residual), proposed fix False (F70)","Truth table correct (PRE=CLR=L ⇒ Q̄=H). But that window is the only way to hand the six NSI6611s their RST/EN rising edge while FLT is still asserted — a fault-dominant latch, or raw FLT ANDed into DRV_EN, deadlocks recovery until KL30 is removed. The real weakness: a stuck-low clear pin held the window open indefinitely","Clear made a hardware one-shot (15 nF into the existing 10 k pull-up + BAT46 clamp): ≥54 µs per falling edge, re-arms itself. Recovery sequence FW-15/FW-16"
Review 1,R-F07,CRITICAL — MCU package not bound,Already Fixed,Already Fixed (tracked),Symbolic MCU was a declared pre-layout blocker since A.4. Also found: parts-db says 289-MAPBGA while design-basis says LQFP-176 (N6),Stays the fabrication blocker; package choice itself added to it
Review 1,R-F08,CRITICAL — no traction firmware,Not Applicable,Not Applicable (repo scope),This repository is the hardware design package,Every firmware obligation written as FW-01…FW-21 in firmware-contract.md
Review 1,R-F09,MAJOR — power range vs current limits,Confirmed,Confirmed (F67),"220/120 kW need ≥654/656 V at 340/185 A (PF 0.85, 5 % reserve); 168/91 kW at 500 V",Published P(V_dc) per SKU; firmware derates by V_dc (FW-03)
Review 1,R-F10,MAJOR — V_DC divider headroom at 920 V,Not Applicable,Not Applicable,Product max is 850 V: worst-corner linear FS 902 V vs the 880 V OV trip (AMC1311B),Documented: a > 880 V pack needs the 5.11 k bottom resistor (value swap)
Review 1,R-F11,MAJOR — V_DC channels not independent,Confirmed,Confirmed (F72),Both receivers share the UVOF offset buffer: its failure shifts both by up to 228 V and passes the 5 % cross-check,"VOFS routed to an MCU ADC (zero parts), FW-07; BMS pack voltage is the third witness; wording corrected"
Review 1,R-F12,"MAJOR — HVIL ""comparator"" not present",Confirmed,"Confirmed (doc, F76) + Firmware Handled",The HVIL is an ADC signature read by the MCU,"Wording corrected; reaction FW-09 (≤100 ms, no blind contactor opening at speed)"
Review 1,R-F13,CRITICAL — ASC not speed/health qualified,Firmware Handled,Firmware Handled,"Hardware has both actuators (SPO via DRV_EN, LS-ASC latch) and separate FLT_HS/FLT_LS; the choice is motor- and fault-dependent","Decision matrix §6 incl. ""FLT_LS ⇒ SPO only"" and the FS1B policy (FW-12); motor validation gate"
Review 1,R-F14,MAJOR — ASC hold-up basis wrong,Confirmed,Confirmed (F74),"The VEE cap was added in parallel with VCC2; bleeder and gate loads ignored: 1.1–3.2 ms, not 15 ms; the command path dies in ≈1 ms","S10 rebuilt. Conclusion unchanged (ASC needs KL30) plus a hard motor rule: SPO at dead LV is energy-safe only if E_LL,pk(n_max) < 1000/600 V — otherwise the HV-fed backup-bias option"
Review 1,R-F15,CRITICAL — contactor open during regen,Firmware Handled,Firmware Handled,"Real hazard (100 kW charges 290 µF by 100 V in ≈0.26 ms). Hardware has fast V_DC sensing (AMC1311B, ≈2 µs) and ASC","FW-06 ADC hardware compare → ASC ≤100 µs, FW-08 DC-link control; no brake chopper (review V10 agrees)"
Review 1,R-F16,MAJOR — motor parameters unbound,Not Applicable,Not Applicable (motor not selected),—,Commissioning input; §6 uses n_x from it
