Qty,Designators,Value,MPN,Manufacturer,Description,LCSC,Footprint,Price1k_INR,Ext_INR,Alt
3,"USNSU USNSV USNSW","","HC5FW900-S","LEM","open-loop hall 900 A busbar transducer, 5 V ratiometric (GEN3 exact). INSULATION (N7): /SP1 is the reduced-insulation no-sleeve variant (2.5 kV/1 min, 3.6/2.7 mm) - phase busbar carries a >=1 kV DC insulating sleeve through the aperture, LEM to confirm for 850 VDC. SOURCING: LEM franchise/direct, listed-not-stocked at DigiKey — secure lead time early; only LCSC busbar hall (HAH1BVW S/06 600 A, C454763) is under-ranged and 0-stock",CLASS,"OffBoard",700,2100,"HAH1BVW S/08 900 A class (LEM)"
1,"UMCU","","S32K396","NXP","lockstep M7 motor-control MCU (ASIL-D), eTPU/SDADC/SWG, 289-MAPBGA (GEN3; ball map VERIFY vs RM — symbolic here). Production via NXP direct/franchise; LCSC marketplace lists S32K396EHT1MJBST C25786933 in tens only (proto)",CLASS,"BGA289",1400,1400,"S32K388 (same family)"
1,"JVEH","","TE 770669-1 (AMPSEAL 23)","TE","23-pos AMPSEAL PCB header, right-angle shrouded (CAN x2, KL30/KL15, resolver, motor temp, FAULT_OUT); mates 770680-1 plug + 770520 contacts. F60: 776231-1 was the 35-pos header (its drawing mates plug 776164) — rebound from the TE drawing, TE-770669-1.pdf in docs/datasheets",CLASS,"AMPSEAL23",780,780,"1-770669-x plating variants / Aptiv GT 280 family"
1,"USBC","","FS2633D","NXP","ASIL-D SBC: VPRE 5.4V buck / VCORE 1.5V buck / VREF 5V / LDO1 3.3V / LDO2 5V, Q&A WD, FCCU, FS0B/FS1B (GEN3 exact; pin map VERIFY vs DS). Production via NXP direct; LCSC lists MFS2633AMBA0AD C5191165 in single digits (proto); OTP variant must match",CLASS,"HLQFP48",480,480,"FS2630 variants"
9,"UUB1 UUB2 UVB1 UVB2 UVD1 UVD2 UVOF UWB1 UWB2","","OPA376AQDBVRQ1","TI","VDC differential receiver (iso-amp diff pair -> single-ended to ADC)",CLASS,"SOT23-5",28,252,"OPA320-Q1"
1,"UEXD","","ALM2402QPWPRQ1","TI","dual power op-amp resolver driver, 8 Vpp H-bridge out (GEN3 exact — LCSC-stocked, 513 pcs)",C544754,"HTSSOP16",180,180,"ALM2403QPWPRQ1 (DigiKey ships-today)"
1,"JICC","","HARNESS-2x20-CLASS","TBD at layout","40-way dual-row harness (card side) — see JIC",CLASS,"MicroFit40",120,120,"TE eq"
2,"UCAN1 UCAN2","","TCAN1042HGVDRQ1","TI","CAN-FD 5 Mbps transceiver, VIO, AEC-Q100 — automotive grade stocked on LCSC",C132550,"SOIC8",55,110,"TCAN1042DRQ1 C118837 (loses 70 V fault tol.) / TJA1443"
3,"UEXF UVMB1 UVMB2","","OPA348AQDBVRQ1","TI","VMID buffers (exciter + sense mid-rails) — Q1 grade LCSC-stocked, 5.9k pcs",C2877787,"SOT23-5",25,75,"OPA365-Q1 / commercial OPA348AIDBVR C363280"
2,"UMT1 UMT2","","OPA333AQDBVRQ1","TI","zero-drift buffer, motor temp (GEN3 exact; LCSC 80 pcs + marketplace)",C2058544,"SOT23-5",35,70,"OPA388-Q1"
1,"Y1","","CX3225GA40000D0PTVCC","Kyocera","40 MHz crystal (GEN3 exact; LCSC 20 pcs — thin, second-source noted)",C6009848,"X3225",45,45,"NX3225GA-40M / SOSET 3225 40 MHz C5380316 (PROTO ONLY: not AEC-Q200, 85 C, CL 12 pF retune)"
1,"JSWD","","FTSH-105-01-L-DV-K","Samtec","10-pin 1.27 mm ARM Cortex debug header (2x5, keyed pin 7) - the drawn map: 1 VTref, 2 SWDIO/TMS, 3/5/9 GND, 4 SWCLK/TCK, 6 SWO/TDO, 8 TDI, 10 nRESET (A6-R10: was a 20-pin JTAG line)",CLASS,"HDR2x5-1.27",45,45,"Harwin M50-3500542 / CNC Tech 3220-10-0300-00"
