Qty,Designators,Value,MPN,Manufacturer,Description,LCSC,Footprint,Price1k_INR,Ext_INR,Alt
1,"PSQD","","UCC14141QDWNRQ1","TI","reinforced isolated bias, 8-18 V in, single-output configuration set to 18.0 V by 62 k/10 k (17.4-18.6 V): V_IORM 1414 Vpk, V_IOWM 1000 Vrms / 1414 VDC, V_IOTM 7071 Vpk, DIN EN IEC 60747-17 reinforced (VDE/UL/CQC certificates listed 'planned' in SLUSF10B §7.6 — confirm the current status before release); 1 W over the full VIN bin (2.5 W abs), RthJA 52.3 K/W; AEC-Q100. Replaces the QA01C-18 (no published working voltage) for the discharge driver bias, DCN-referenced",CLASS,"DWN36",450,450,"UCC14240QDWNRQ1 (24 V-in bin, same pins) — no SIP-7 module carries a V_IORM at this class"
1,"QDIS","","HCM75S12T4K3","HIITIO","SiC MOSFET 1200 V 75 mR TO-247-4L (discharge switch — vendor consolidation)",CLASS,"TO247-4L",350,350,"1200 V >=5 A SiC FET in TO-247-4L with the same G/D/S/Kelvin order only — a 3-lead TO-247 does not fit the 4L pads (round 12, R1-F11)"
1,"UQD","","VOW3120-X017T","Vishay","opto gate driver (isolated discharge control, default-OFF). A.12 barrier closure (gate 11): V_IORM 1414 Vpk / V_IOTM 8 kVpk, DIN EN 60747-5-5 (VDE 0884-5) option 1, V_ISO 5.3 kVrms, CPG/CLR >= 10 mm (DS 82442 p.5); IOH/IOL 2.5 A peak, UVLO 11-13.5 V, tpLH/tpHL 0.5 us max, -40...100 C. NOT AEC-Q101 (UL/cUL/VDE/CQC only). SMD-8 widebody, tape",CLASS,"SMD8W",190,190,"Broadcom HCNW3120-500E (widebody, V_IORM 1414 Vpk — confirm the current sheet)"
1,"JCTL","","IPL1-104-01-L-S-K","Samtec","discharge-board control link (V15 / QDIS_CMD / GND x2): 4-way single-row 2.54 mm shrouded keyed vertical header, 4.8 A/pin, -55...125 C, gold flash (Samtec F-226, bound A.15). Mates the IPD1-04-S-K housing with CC79L-2024-01-L crimps (20-24 AWG) — the JIC/JICC family, so one crimp tool covers the whole inverter",CLASS,"IPL1-104 (1x4 2.54 mm THT)",125,125,"IPL1-104-01-L-S-RA-K (right angle)"
4,"RDIS1 RDIS2 RDIS3 RDIS4","220","SQP10-220RJB15","any","TT/Welwyn SQP statement: 'will not burn or emit incandescent particles under any condition of applied temperature or overload' (SQP.pdf; the stuck-ON QDIS rows rest on it since round 17). 220 R 10 W axial ceramic wirewound, fail-open/flameproof class — BOUND rev A.12: TT/Welwyn SQP10-220RJB15 (alt Yageo SQP10AJB-220R; same gate as the 470 R part) (4XX: 4x = 880 R, 500->60 V in 1.73 s worst at 883 uF; 28 J/resistor) Same fusible/flameproof qualification gate as 8XX at 71 W/resistor (A6-R11)",CLASS,"AxialP38",28,112,"Yageo SQP10AJB-220R only with the same no-flame-under-overload statement or the QP overload test (round 17, VR-28; round 20 F206: the 8XX 470 R alternate had been copied into this 4XX row — four 470 R would take 3.1 s to 60 V against the 2 s target, the 220 R primary 1.5 s)"
2,"JDCN JDCP","","STUD-M6","local","discharge-board bolt terminal onto the cap bank / busbar",CLASS,"StudM6",18,36,"M8"
12,"RBLD1 RBLD10 RBLD11 RBLD12 RBLD2 RBLD3 RBLD4 RBLD5 RBLD6 RBLD7 RBLD8 RBLD9","15k","R2512-15k-2W","any","15 k 2512 2 W thick film (4XX bleeder 6s x 2p = 45 k: 89 s worst to 60 V; 83 V/resistor at 500 V)",CLASS,"-",3,36,"-"
2,"CQDI1 CQDI2","10uF","MLCC-10uF-25V-X7R","any","UCC14141-Q1 VIN bulk 2 x 10 uF (DS Table 9-2: CIN 20 uF + 0.1 uF), 25 V X7R at the 15 V rail",CLASS,"C1206",1.5,3,"any X7R 25 V"
1,"CQDO","10uF","MLCC-10uF-50V","any","UCC14141-Q1 COUT1 10 uF at VDD-VEE (DS Table 9-2; the board's 100 nF sits at the load), 50 V X7R for DC bias at 18 V",CLASS,"C1210",1.5,1.5,"any X7R 50 V"
2,"CQD CQDIB","100nF","MLCC-100nF-50V","any","UCC14141-Q1 VIN high-frequency bypass, at pins 6/7-8 (DS §9.5.1)",CLASS,"C0603",0.3,0.6,"any"
