Qty,Designators,Value,MPN,Manufacturer,Description,LCSC,Footprint,Price1k_INR,Ext_INR,Alt
3,"MODU MODV MODW","","HCS600FH120D3C1","HIITIO","SiC MOSFET half-bridge module 1200 V 600 A, hiitio D3 outline 152 x 62 mm, 11-pin map verified (DIRECT hiitio relationship)",CLASS,"EconoDUAL3",18000,54000,"pin-map-verified hiitio drop-ins only: HCG600FH120D3E1EA (IGBT SKU), HCS900FH120D3C1 (900 A SiC), HCG900FH120D3RC (900 A IGBT) — NOT HCS800FH120D4B3 (lettered press-fit pins); third-party EconoDUAL-3 SiC needs its own pin-map check"
6,"TFH1 TFH2 TFH3 TFL1 TFL2 TFL3","","VGT12EEM-200S1A4","TDK (Vogt)","gate-drive flyback transformer EE, AEC-Q200, 2.6 kVrms — DigiKey ships-today. REAL spec (TDK DS): NP:NF:NS 1:1.6:2.9, Lp 10 uH ±20 % -> ~250 kHz operation (F32/F33); NF=primary feedback 3-4, NS=5..8",CLASS,"XfmrEE12",350,2100,"Wurth 750318131 class / CN custom-wound to drawing at volume"
2,"PS5B PS5C","","UCC12051QDVERQ1","TI","AEC-Q100 iso 5 V -> 5.0 V 500 mW DC/DC, SOIC-16W (ONE PER VDC CHANNEL) — PRODUCTION part promoted to the primary MPN in round 14 (F12/A12-R07); the catalogue UCC12050DVER (not AEC-Q100, same pins) is the PROTO fit. No-load input current 52 mA typ / 80 mA MAX at the 5 V select (SNVSBY2A 6.9) — Reinforced barrier per DIN VDE V 0884-11: V_IORM 1697 Vpk, V_IOWM 1200 Vrms / 1697 VDC, V_ISO 5 kVrms, >8 mm creepage, CTI >600 (TI DS SNVSB38D 6.6) — the same class as the AMC1311 it feeds. 50 mA no-load input, 100 mA out max; SEL tied to VISO = 5.0 V, EN to VINP. Round 12 (R1-F12, R2-F02/F03): replaces 'MGJ2D150505SC', an order code that does not exist (MGJ2 makes gate-drive pairs only, reinforced approval 150 Vrms). RECOM R15P05S REJECTED in round 5 (basic, 250 Vrms). GRADE (round 13): the UCC12050 is NOT AEC-Q100; the production AVL part is UCC12051QDVERQ1 (AEC-Q100 G1, same barrier and pinout, +INR 130 each) — the catalogue part is the proto fit",CLASS,"SOIC16W",490,980,"PRODUCTION: UCC12051QDVERQ1 (AEC-Q100 G1, same barrier, ~INR 490) — no MGJ/NXE/RECOM module: none states a reinforced working voltage >= 850 VDC"
3,"CUSN CVSN CWSN","1uF","FILM-1uF-1200V","Kemet/TDK","1 uF 1200 V film snubber at module DC terminals (B32774 class; exact value via DigiKey — LCSC stocks near-values, e.g. 5 uF/1.1 kV C3809992)",CLASS,"FilmP27.5",180,540,"B32774D0505K000 5 uF C3809992 (retune) / Kemet C4AQ"
6,"UUHG UULG UVHG UVLG UWHG UWLG","","NSI6611ASC-Q1SWR","NOVOSENSE","iso gate driver 10 A (FULL ordering code — the ASC-capable variant; family label alone is not procurement control), DESAT/Miller clamp/UVLO/RDY/FLT, SOIC-16W reinforced. Pin map CONFIRMED vs DS 1.2 Table 1.1 (1=ASC 2=DESAT 3=GND2 4=OUTH 5=VCC2 6=OUTL 7=CLAMP 8=VEE2 / 9=GND1 10=IN+ 11=IN- 12=RDY 13=FLT 14=RST/EN 15=VCC1 16=TEST); VCC2 UVLO 11.2 typ/12.8 max rising; RDY/FLT current-limited reporters (ganging valid); ASC forces OUTH high, abs GND2+6 V",C7470934,"SOIC16W",85,510,"NSI6602B / UCC21750-Q1 (map differs)"
1,"PSASC","","UCC14141QDWNRQ1","TI","reinforced isolated bias, 8-18 V in, single-output configuration set to 18.0 V by 62 k/10 k (17.4-18.6 V): V_IORM 1414 Vpk, V_IOWM 1000 Vrms / 1414 VDC, V_IOTM 7071 Vpk, DIN EN IEC 60747-17 reinforced (VDE/UL/CQC certificates listed 'planned' in SLUSF10B §7.6 — confirm the current status before release); 1 W over the full VIN bin (2.5 W abs), RthJA 52.3 K/W; AEC-Q100. Replaces the QA01C-18 (no published working voltage) for the ASC buffer bias, DCN-referenced; ASC path clamped 5.1 V regardless, entry timing from the 17.4 V low end",CLASS,"DWN36",450,450,"UCC14240QDWNRQ1 (24 V-in bin, same pins) — no SIP-7 module carries a V_IORM at this class"
1,"JIC","","IPL1-120-01-L-D-K","Samtec","40-way (2 x 20) 2.54 mm shrouded, keyed vertical header to the control-card harness — bound A.12: -55...125 C, 3.8 A/pin at 95 C (4.8 A with 2 pins powered; VBAT and V5GD are doubled pins), gold, positive latch on the mate. Mates IPD1-20-D-K (-M for the metal latch) discrete-wire housing with CC79L-2024-01-L crimps (20-24 AWG). No 2.54 mm dual-row family carries an explicit AEC-Q200 statement — Samtec's A-Series automotive MPN (IATF 16949, PPAP L3) to be confirmed at layout. PIN NUMBERING: confirm interleaved odd/even against the Samtec print before layout; HARNESS40 keeps VBAT/V5GD beside ground under both schemes (round 9 R9X-02). Micro-Fit 3.0 dual row stops at 24 circuits, Milli-Grid at 2 A/pin",CLASS,"HDR2x20-2.54",245,245,"TE AMPMODU Mod II 6-102618-8 header / 3-87456-6 housing / 281556-2 crimps (105 C)"
2,"UIVB UIVDC","","AMC1311BDWVR","TI","iso voltage amp 0-2 V in, reinforced (VDC channel 1)",C456277,"SOIC8W",115,230,"NSI1311 class"
1,"UASC","","VOW3120-X017T","Vishay","opto buffer: latched ASC_CMD -> LS driver ASC pins (secondary side). A.12 barrier closure (gate 24): V_IORM 1414 Vpk / V_IOTM 8 kVpk, DIN EN 60747-5-5 (VDE 0884-5) option 1, V_ISO 5.3 kVrms, CPG/CLR >= 10 mm (DS 82442 p.5); IOH/IOL 2.5 A peak, UVLO 11-13.5 V (default-OFF until the rail is up), tpLH/tpHL 0.5 us max, -40...100 C. NOT AEC-Q101 (UL/cUL/VDE/CQC only). SMD-8 widebody, tape",CLASS,"SMD8W",190,190,"Broadcom HCNW3120-500E (widebody, V_IORM 1414 Vpk — confirm the current sheet)"
5,"JHVN JHVP JMU JMV JMW","","STUD-M8","local","HV DC entry M8 stud (busbar)",CLASS,"StudM8",28,140,"M10"
