Qty,Designators,Value,MPN,Manufacturer,Description,LCSC,Footprint,Price1k_INR,Ext_INR,Alt
1,"PSQD","","UCC14141QDWNRQ1","TI","reinforced isolated bias, 8-18 V in, single-output configuration set to 18.0 V by 62 k/10 k (17.4-18.6 V): V_IORM 1414 Vpk, V_IOWM 1000 Vrms / 1414 VDC, V_IOTM 7071 Vpk, DIN EN IEC 60747-17 reinforced (VDE/UL/CQC certificates listed 'planned' in SLUSF10B §7.6 — confirm the current status before release); 1 W over the full VIN bin (2.5 W abs), RthJA 52.3 K/W; AEC-Q100. Replaces the QA01C-18 (no published working voltage) for the discharge driver bias, DCN-referenced",CLASS,"DWN36",450,450,"UCC14240QDWNRQ1 (24 V-in bin, same pins) — no SIP-7 module carries a V_IORM at this class"
1,"QDIS","","HCM75S12T4K3","HIITIO","SiC MOSFET 1200 V 75 mR TO-247-4L (discharge switch — vendor consolidation)",CLASS,"TO247-4L",350,350,"1200 V >=5 A SiC FET in TO-247-4L with the same G/D/S/Kelvin order only — a 3-lead TO-247 does not fit the 4L pads (round 12, R1-F11)"
1,"UQD","","VOW3120-X017T","Vishay","opto gate driver (isolated discharge control, default-OFF). A.12 barrier closure (gate 11): V_IORM 1414 Vpk / V_IOTM 8 kVpk, DIN EN 60747-5-5 (VDE 0884-5) option 1, V_ISO 5.3 kVrms, CPG/CLR >= 10 mm (DS 82442 p.5); IOH/IOL 2.5 A peak, UVLO 11-13.5 V, tpLH/tpHL 0.5 us max, -40...100 C. NOT AEC-Q101 (UL/cUL/VDE/CQC only). SMD-8 widebody, tape",CLASS,"SMD8W",190,190,"Broadcom HCNW3120-500E (widebody, V_IORM 1414 Vpk — confirm the current sheet)"
4,"RDIS1 RDIS2 RDIS3 RDIS4","470","SQP10-470RJB15","TT Electronics (Welwyn)","470 R 10 W axial ceramic wirewound, fail-open/flameproof class, >=100 J single pulse. BOUND rev A.12: TT Electronics (Welwyn) SQP10-470RJB15 — 10 W at 70 C, 700 V limiting element voltage, 'will not burn or emit incandescent particles under any overload', 50 x 11 mm axial (ordering pattern SQP10-<value>JB15 per the TT SQP sheet; the exact string is confirmed at RFQ). Alternate: Yageo SQP10AJB-470R (500 V LEV, UL 94 V-0 cement, stocked everywhere). No catalogue 470 R/10 W part publishes a fail-open curve (the fusible FW/AC-CS/CWFS families stop at 100 R/7 W), so the A6-R11 stuck-ON test stays the gate (active discharge string; F26 — 4x = 1.88k closes 850->60 V in 1.81 s worst with the bleeder counted once; spec: >=3 x 32 J pulses per 5 min, opens without flame under sustained 10x overload). DigiKey (TE SQP500JB / Vishay AC10) or RX27-1 via 1688 QUALIFICATION GATE (A6-R11): with QDIS shorted and the battery connected each resistor takes 96 W (10x) - buy a fusible/flameproof type whose datasheet fusing curve opens at 70-100 W within 60 s and which then holds >=1.2 kV DC across the open element without arcing; prove it in a current-limited HV test from hot, after repeated normal pulses",CLASS,"AxialWW10W",28,112,"TE SQP500JB / Vishay AC10 / RX27-1"
2,"JDCN JDCP","","STUD-M6","local","discharge-board bolt terminal onto the cap bank / busbar",CLASS,"StudM6",18,36,"M8"
12,"RBLD1 RBLD10 RBLD11 RBLD12 RBLD2 RBLD3 RBLD4 RBLD5 RBLD6 RBLD7 RBLD8 RBLD9","22k","R2512-22k-2W","any","22 k 2512 2 W standard thick-film (passive bleeder 6s x 2p = 66 k; 154 V worst-tolerance/resistor at 850 V = 77 % of a plain 2512 200 V working rating — review A.6: 5 x 27 k put 184 V (92 %) on the low-tolerance part)",CLASS,"R2512",3,36,"TE CRGP2512F68K C2073426 (101 pcs LCSC) in 3s x 3p if the XM3 arrangement is preferred"
1,"JCTL","","HDR-1x4-2.54","any","discharge-board control link (V15 / QDIS_CMD / GND x2) — locking header at layout",CLASS,"HDR1x4",6,6,"JST-XH 4p"
2,"CQDI1 CQDI2","10uF","MLCC-10uF-25V-X7R","any","UCC14141-Q1 VIN bulk 2 x 10 uF (DS Table 9-2: CIN 20 uF + 0.1 uF), 25 V X7R at the 15 V rail",CLASS,"C1206",1.5,3,"any X7R 25 V"
1,"CQDO","10uF","MLCC-10uF-50V","any","UCC14141-Q1 COUT1 10 uF at VDD-VEE (DS Table 9-2; the board's 100 nF sits at the load), 50 V X7R for DC bias at 18 V",CLASS,"C1210",1.5,1.5,"any X7R 50 V"
2,"CQD CQDIB","100nF","MLCC-100nF-50V","any","UCC14141-Q1 VIN high-frequency bypass, at pins 6/7-8 (DS §9.5.1)",CLASS,"C0603",0.3,0.6,"any"
