ID,Gap (rev A.15 state),Verified as,Closure,Rev A.16 state
G-01,Exciter back-drive with VEXD absent — OPEN: the ALM2402 reverse diodes carry the 4.9 A / 59 µs charge and have no published envelope,real (DS §8.3.6: pulsed use only),"Hardware: DEXP/DEXN Nexperia PMEG4050EP-Q (AEC-Q101, SOD128, I_FSM 70 A, V_F 0.49 V max at 5 A) from each protected node to VEXD — takes the charge below the internal diodes' knee; NCV4276C output abs max 40 V tolerates the back-fed rail (DS Maximum Ratings)","PASS (row ""rated diversion""); the measurement stays in QP as characterisation"
G-02,Exciter TVS energy CONDITIONAL on the PTC clearing time; source-impedance allocation ≥ 0.27 Ω,the round-16 rows mixed a single fault (line shorted to KL30 ≤ 24 V) with a load-dump-coincident 35 V case,"Analysis split + upgrade: single fault — 3.4 J at the 20 ms bound and 37 A ≤ 40 A with zero external impedance; the TVS becomes the 3 kW SMDJ8.5A-HRA (AEC-Q101, same SMC pad: ≈ 9 J at 10 ms) so even the 35 V energy at the 20 ms bound (6.3 J) is inside the curve; what remains of the 35 V case is the PTC's 40 A I_max — a double event (a short *during* an ISO 16750-2 test-B pulse), IR-16 / IR-33",single fault PASS; 35 V TVS energy PASS; 35 V PTC current INFO (accepted double event)
G-03,"PTC hold current vs ""60 mA assumed maximum""",the 60 mA had no source,Interface requirement IR-13: resolver primary ≥ 60 Ω at 10 kHz → ≤ 41 mA rms at the 7.2 V pp setpoint (58 % of the 70 mA hot hold),PASS
G-04,"Resolver drive at 9 V KL30: ""≈ 6.5 V pp available vs 8 V pp target""",stale (A.4.3 single-ended model): since round 12 both outputs swing ±1.91 V pk around VMID_REX = V5A/2 = 2.5 V,Recomputed: the rail only has to exceed 4.6 V; VEXD ≈ 8.3 V at 9 V KL30,PASS
G-05,"Stuck-ON QDIS — ""resistor must fail open without flame"" (gate ㉖)","the bound RDIS part's sheet states it: TT/Welwyn SQP ""will not burn or emit incandescent particles under any condition of applied temperature or overload""",Citation + BOM note (the Yageo alternate lacks the statement) + VR-28 for the qualification data + QP fail-open characterisation,PASS (both rows)
G-06,RFS4 at the 24 V jump start with FS1B held: 1.47× its nameplate for 60 s,real (0.48 W in a 0603 rated 0.33 W),"Hardware: 1206 anti-surge ESR18EZPF1001, 0.5 W at 70 °C (ROHM ESR series Rev.012 archived) — 0.96× for 60 s, element ≈ 107 °C",PASS
G-07,Hall ratiometric reference (V5A) vs VREF5: ±1–2 % gain drift,"bounded, not a defect",Documented: EOL gain calibration (FW-20) removes the static ratio; the residual sits inside the ±5 % torque allocation (IR-26); the safety checks do not depend on it,PASS
G-08,"KiCad hand-off ""not yet verified by an export from a running KiCad instance""","KiCad 10.0.6 is installed: it loads the legacy sheets but resolves no symbols (with or without a sym-lib-table, cache library or project file) — its netlist export lists no components — so the legacy format cannot be CLI-verified in KiCad 9/10 (its JSON ERC report also divides every coordinate by 100 — a report quirk, not a loading error)","Deliverable upgrade: kicad/traction/ in the KiCad 9 format (embedded symbols + project library), converted item by item from the freshly written native KiCad 5 sheets so the two sets cannot drift, and proved by kicad-cli sch export netlist against the built netlist on every board with mutation tests; sym-lib-table + cache library added to both legacy folders/zips",closed (KiCad section)
G-09,"15 WARN rows that named ""a bench"" or ""a vendor"" without a procedure or a question",real (nothing executable behind them),"Documents: VR-01…28 with acceptance criteria, IR-01…33, QP procedures with pass criteria; the report's open-inputs section points to them",every remaining WARN names its VR/IR/QP
G-10,"Firmware README: 35 ""contract contradictions and open items (not silently changed)""","real (decisions taken in code, contract text behind)","Contract sync (§10b/§10c), FW-08 decision implemented, UDS service routine for the service lock, firmware/docs/target-bringup.md for the silicon/RM items",see the firmware section
G-11,LV input: ISO 16750-2 load dump test B (35 V / 400 ms) not survivable on paper by the SMC TVS + polyfuse,real — and worse than the row said: in the real alternator model (79–101 V source behind Ri with the 35 V central clamp in parallel) any local TVS clamping below 35 V takes the unsuppressed current,"Strategy change to let-through (LV-input section): every TVS knee above 35 V, every downstream part shown rated for the plateau, a 100 µF hybrid capacitor for the fast pulses, an anti-series pair for the negative pulses","implemented and verified: ERC 965/0, 13 new LV A.16 rows (one WARN left: the FS26 ""limited period"" duration, VR-29); IR-03 = ""central suppression, Us* ≤ 36 V at the pin"", no Ri constraint"
G-12,"Datasheets missing or unconfirmed (Murata BLM31 sheet, TDK automotive beads, Littelfuse SMDJ AEC status, Diodes DMP6023LEQ ""Advance Information"", Samtec pin numbering)",real,"retrieval round: 13 sheets archived, three findings changed the BOM (see the datasheet section)",closed except VR-14 (Murata's literal AEC-Q200 line) and VR-20 (Diodes production status)
G-13,(found by the KiCad proof) the legacy sets numbered the 40-way harness headers JIC/JICC P1–P40 — the MCU ball rule in pages.mjs also matched the harness labels P1_…P40_ — against pads 1–40,"real defect in the hand-off (netlist unaffected, the KiCad 5 symbol pin numbers were wrong)",Generator fix: the ball rule applies to UMCU only; the modern set takes its numbers from the built netlist,"fixed, regenerated (F183)"
G-14,"(found by the KiCad proof) after the SMDJ8.5A-HRA upgrade the legacy generator drew TVSEP/TVSEN as resistors (its diode list knew SMAJ/SMBJ/SMCJ, not SMDJ), and the new PMEG Schottky needed the same rule",real (symbol only; connections correct),Generator fix: SMDJ / 5.0SMDJ / PMEG classed as diodes,"fixed, regenerated (F184)"
G-15,"(found by the LV study) ISO 7637-2 pulse 1 (−150 V, 10 Ω) avalanches the reverse Schottky DREVC: the TVS sat after it",real defect (654 W vs the STPS5L60S 144 W avalanche rating),Hardware: the clamp moves to the pin node ahead of DREVC (as GEN3 has it) as an anti-series TPSMC33A-VR / TPSMC18A-VR pair — DREVC sees ≈ 38 V of 60 V,fixed
G-16,(found by the LV study) ISO 16750-2:2023 raised the jump start to 26 V / 60 s at T_min; the TPSMC24CA-VR breaks down at 25.1 V at −40 °C and would conduct for the whole minute,real for the 2023 edition (IR-02 is the 2012 24 V),the 33 V-knee parts are dark at 26 V (34.4 V at −40 °C); the 26 V case is an INFO row and the 24 V rows list what changes at 26 V (RFS4 would need the ESR25),fixed for the TVS; the OEM's edition is IR-02
G-17,"(found by the LV study) FLVC (MF-LSMF300/24X, 3 A hold at 23 °C = 1.5 A at 85 °C) carries the whole inverter's LV current: 1.73 A at 13.5 V, 2.54 A at 9 V",real defect (nuisance trip hot at low KL30; the old row checked one chain at 23 °C),Hardware: Bel 0680L5000-05 5 A slow-blow fuse (125 V DC) — 2.54 A at 9 V is 0.65 of the 85 °C continuous limit (0.44 at 13.5 V); hot-plug inrush 0.59 A²s vs 36 A²s melting,fixed (F187)
G-18,(found by the LV study) KL15 pulse 1 drives the FS26 WAKE1 pin (−0.3 V abs) far negative through the sense divider; DIGN's 75 V rating is exceeded,real,"Hardware: DIGN → US1M (1000 V) with RIGN1 behind it, so WAKE1 and the ignition sense sit behind one blocking diode (pulse 1 on DIGN 164 V of 1000 V)",fixed (F188)
G-19,"(found by the QP review) the firmware waits ≥ 1 µs after ASC_CLR before the first high-side pulse, but since the A.12 opto change the ASC pins release in ≤ 1.06 µs — overlap possible on SiC",real (shoot-through window: the old firmware fired at 2.0 µs against 2.07 / 3.57 µs deadlines),Firmware: cal_asc_release_ns 1500 ns + dead time from the ASC_CLR edge → 4.0 / 5.0 µs; scenario test fails before / passes after; contract §4c,fixed
G-20,"(found by the firmware agent) the FS26 watchdog answer lands at ≈ 3.0 ms on the target, at the edge of the 3 ms window (the due test waited ≥ 2000 µs from a stamp taken after the SPI transfer; the host sim's tick grid hid it)",real safety-timing defect,"Firmware: refresh at the top of the task, due at ≥ 1500 µs (≈ 2.0 ms), exact-grid test that fails on the pre-fix tree",see the firmware section
G-21,"(found by the QP review) the sim S10 ""ASC command path collapses within ≈ 1 ms"" was modelled for the TLP152/QA01C parts and never re-derived","stale basis, same conclusion","Re-derived for VOW3120 + UCC14141-Q1 (8 V UVLO) and the round-17 LV bulk: ≈ 170 µF at ≈ 1.05 A gives 6 V/ms, the bias input reaches 8 V in ≈ 0.7 ms — the figure stands with its basis; IR-05/IR-32/IR-33 name the safety-concept assumption",closed
G-22,(found by the QP review) README used gate number ㉔ twice; dfm.md still described the 0603 RFS4 and the MGJ2 purchasing gate; the report's open-inputs list still named the MGJ2 certificate,stale text,parking-drain gate renumbered ㉙ (QP references updated); dfm.md and the report corrected,closed
